Country,Indicator,Year,Value
Algeria,"Fertility rate, totalh(live births per woman)",2010,2.7
Algeria,"Fertility rate, totalh(live births per woman)",2015,3
Algeria,"Fertility rate, totalh(live births per woman)",2021,3d
Algeria,"Population age distribution(0-14/60+ years old, %)",2010,27.3 /        7.8
Algeria,"Population age distribution(0-14/60+ years old, %)",2015,28.7 /        8.9
Algeria,"Population age distribution(0-14/60+ years old, %)",2021,30.9 /       10.1a
Algeria,Refugees and others of concern to UNHCR(000),2010,94.4j
Algeria,Refugees and others of concern to UNHCR(000),2015,100
Algeria,Refugees and others of concern to UNHCR(000),2021,99.2d
Algeria,Health: Current expenditure(% of GDP),2010,5.1
Algeria,Health: Current expenditure(% of GDP),2015,7
Algeria,Health: Current expenditure(% of GDP),2021,6.2k
Algeria,Education: Government expenditure(% of GDP),2010,4.3m
Algeria,Education: Government expenditure(% of GDP),2015,...
Algeria,Education: Government expenditure(% of GDP),2021,...
Algeria,Education: Secondary gross enrol. ratio(f/m per 100 pop.),2010,98.7 /       95.2
Algeria,Education: Secondary gross enrol. ratio(f/m per 100 pop.),2015,101.5 /       97.8n
Algeria,Education: Secondary gross enrol. ratio(f/m per 100 pop.),2021,... / ...
Algeria,Intentional homicide rate(per 100 000 pop.),2010,0.7
Algeria,Intentional homicide rate(per 100 000 pop.),2015,1.4
Algeria,Intentional homicide rate(per 100 000 pop.),2021,...
American Samoa,Population growth rateg(average annual %),2010,-1.2
American Samoa,Population growth rateg(average annual %),2015,-0.1
American Samoa,Population growth rateg(average annual %),2021,-0.2h
American Samoa,Urban population growth rateg(average annual %),2010,-1.3
American Samoa,Urban population growth rateg(average annual %),2015,-0.1
American Samoa,Urban population growth rateg(average annual %),2021,...
American Samoa,International migrant stock(000/% of total pop.),2010,23.6 /       42.0
American Samoa,International migrant stock(000/% of total pop.),2015,23.5 /       42.1
American Samoa,International migrant stock(000/% of total pop.),2021,23.6 /       42.8h
American Samoa,Urban population(% of total population),2010,87.6
American Samoa,Urban population(% of total population),2015,87.2
American Samoa,Urban population(% of total population),2021,87.1b
American Samoa,Education: Government expenditure(% of GDP),2010,14.6i
American Samoa,Education: Government expenditure(% of GDP),2015,...
American Samoa,Education: Government expenditure(% of GDP),2021,...
American Samoa,Intentional homicide rate(per 100 000 pop.),2010,8.9
American Samoa,Intentional homicide rate(per 100 000 pop.),2015,7.2
American Samoa,Intentional homicide rate(per 100 000 pop.),2021,5.4j
Andorra,Population growth ratek(average annual %),2010,1.4
Andorra,Population growth ratek(average annual %),2015,-1.6
Andorra,Population growth ratek(average annual %),2021,-0.2d
Andorra,Urban population growth ratek(average annual %),2010,1
Andorra,Urban population growth ratek(average annual %),2015,-1.7
Andorra,Urban population growth ratek(average annual %),2021,...
Andorra,International migrant stockl(000/% of total pop.),2010,52.1 /       61.6
Andorra,International migrant stockl(000/% of total pop.),2015,42.3 /       54.2
Andorra,International migrant stockl(000/% of total pop.),2021,45.6 /       59.0d
Andorra,Health: Physicians(per 1 000 pop.),2010,3.1m
Andorra,Health: Physicians(per 1 000 pop.),2015,3.3
Andorra,Health: Physicians(per 1 000 pop.),2021,...
Andorra,Seats held by women in national parliaments(%),2010,35.7
Andorra,Seats held by women in national parliaments(%),2015,50
Andorra,Seats held by women in national parliaments(%),2021,46.4n
Andorra,Urban population(% of total population),2010,88.8
Andorra,Urban population(% of total population),2015,88.3
Andorra,Urban population(% of total population),2021,88b
Andorra,Health: Current expenditure(% of GDP),2010,6.6
Andorra,Health: Current expenditure(% of GDP),2015,6.2
Andorra,Health: Current expenditure(% of GDP),2021,6.7c
Andorra,Education: Government expenditure(% of GDP),2010,3
Andorra,Education: Government expenditure(% of GDP),2015,3.3
Andorra,Education: Government expenditure(% of GDP),2021,3.2b
Andorra,Intentional homicide rate(per 100 000 pop.),2010,0
Andorra,Intentional homicide rate(per 100 000 pop.),2015,0
Andorra,Intentional homicide rate(per 100 000 pop.),2021,...
Angola,Population growth rateg(average annual %),2010,3.7
Angola,Population growth rateg(average annual %),2015,3.5
Angola,Population growth rateg(average annual %),2021,3.3d
Angola,Urban population growth rateg(average annual %),2010,4.9
Angola,Urban population growth rateg(average annual %),2015,4.7
Angola,Urban population growth rateg(average annual %),2021,...
Angola,"Life expectancy at birthg(females/males, years)",2010,55.3 /       50.3
Angola,"Life expectancy at birthg(females/males, years)",2015,60.5 /       55.2
Angola,"Life expectancy at birthg(females/males, years)",2021,63.4 /       57.8d
Angola,International migrant stockh(000/% of total pop.),2010,336.4 /        1.4
Angola,International migrant stockh(000/% of total pop.),2015,632.2 /        2.3
Angola,International migrant stockh(000/% of total pop.),2021,656.4 /        2.0d
Angola,Infant mortality rateg(per 1 000 live births),2010,104.2
Angola,Infant mortality rateg(per 1 000 live births),2015,78.2
Angola,Infant mortality rateg(per 1 000 live births),2021,61.5d
Angola,Health: Physicians(per 1 000 pop.),2010,0.1k
Angola,Health: Physicians(per 1 000 pop.),2015,...
Angola,Health: Physicians(per 1 000 pop.),2021,0.2l
Angola,Education: Primary gross enrol. ratio(f/m per 100 pop.),2010,94.1 /      117.7
Angola,Education: Primary gross enrol. ratio(f/m per 100 pop.),2015,105.9 /      121.1
Angola,Education: Primary gross enrol. ratio(f/m per 100 pop.),2021,... / ...
Angola,Education: Upper secondary gross enrol. ratio(f/m per 100 pop.),2010,13.2 /       23.7
Angola,Education: Upper secondary gross enrol. ratio(f/m per 100 pop.),2015,13.7 /       24.6m
Angola,Education: Upper secondary gross enrol. ratio(f/m per 100 pop.),2021,24.1 /       29.9n
Angola,Seats held by women in national parliaments(%),2010,38.6
Angola,Seats held by women in national parliaments(%),2015,36.8
Angola,Seats held by women in national parliaments(%),2021,29.6p
Angola,Urban population(% of total population),2010,59.8
Angola,Urban population(% of total population),2015,63.4
Angola,Urban population(% of total population),2021,66.2b
Angola,"Fertility rate, totalg(live births per woman)",2010,6.4
Angola,"Fertility rate, totalg(live births per woman)",2015,6
Angola,"Fertility rate, totalg(live births per woman)",2021,5.6d
Angola,"Population age distribution(0-14/60+ years old, %)",2010,47.0 /        3.8
Angola,"Population age distribution(0-14/60+ years old, %)",2015,47.1 /        3.6
Angola,"Population age distribution(0-14/60+ years old, %)",2021,46.2 /        3.7a
Angola,Refugees and others of concern to UNHCR(000),2010,19.4i
Angola,Refugees and others of concern to UNHCR(000),2015,45.7i
Angola,Refugees and others of concern to UNHCR(000),2021,55.9d
Angola,Health: Current expenditure(% of GDP),2010,2.7
Angola,Health: Current expenditure(% of GDP),2015,2.6
Angola,Health: Current expenditure(% of GDP),2021,2.5j
Angola,Education: Government expenditure(% of GDP),2010,3.4
Angola,Education: Government expenditure(% of GDP),2015,...
Angola,Education: Government expenditure(% of GDP),2021,...
Angola,Education: Secondary gross enrol. ratio(f/m per 100 pop.),2010,21.3 /       31.3
Angola,Education: Secondary gross enrol. ratio(f/m per 100 pop.),2015,20.7 /       32.3m
Angola,Education: Secondary gross enrol. ratio(f/m per 100 pop.),2021,39.7 /       61.8n
Angola,Intentional homicide rate(per 100 000 pop.),2010,...
Angola,Intentional homicide rate(per 100 000 pop.),2015,4.8o
Angola,Intentional homicide rate(per 100 000 pop.),2021,...
Anguilla,Population growth rateh(average annual %),2010,1.5
Anguilla,Population growth rateh(average annual %),2015,1.2
Anguilla,Population growth rateh(average annual %),2021,1e
Anguilla,Urban population growth rateh(average annual %),2010,1.7
Anguilla,Urban population growth rateh(average annual %),2015,1.2
Anguilla,Urban population growth rateh(average annual %),2021,...
Anguilla,International migrant stocki(000/% of total pop.),2010,5.1 /       38.0
Anguilla,International migrant stocki(000/% of total pop.),2015,5.5 /       38.3
Anguilla,International migrant stocki(000/% of total pop.),2021,5.7 /       38.1e
Anguilla,Education: Primary gross enrol. ratio(f/m per 100 pop.),2010,118.9 /      124.4
Anguilla,Education: Primary gross enrol. ratio(f/m per 100 pop.),2015,119.0 /      124.2k
Anguilla,Education: Primary gross enrol. ratio(f/m per 100 pop.),2021,105.8 /      106.8b
Anguilla,Education: Upper secondary gross enrol. ratio(f/m per 100 pop.),2010,113.9 /      103.2
Anguilla,Education: Upper secondary gross enrol. ratio(f/m per 100 pop.),2015,104.2 /      120.5k
Anguilla,Education: Upper secondary gross enrol. ratio(f/m per 100 pop.),2021,94.9 /       99.5b
Anguilla,Urban population(% of total population),2010,100
Anguilla,Urban population(% of total population),2015,100
Anguilla,Urban population(% of total population),2021,100b
Anguilla,Refugees and others of concern to UNHCR(000),2010,...
Anguilla,Refugees and others of concern to UNHCR(000),2015,...
Anguilla,Refugees and others of concern to UNHCR(000),2021,~0.0e
Anguilla,Education: Government expenditure(% of GDP),2010,2.8j
Anguilla,Education: Government expenditure(% of GDP),2015,...
Anguilla,Education: Government expenditure(% of GDP),2021,...
Anguilla,Education: Secondary gross enrol. ratio(f/m per 100 pop.),2010,111.0 /      112.1
Anguilla,Education: Secondary gross enrol. ratio(f/m per 100 pop.),2015,114.3 /      114.2k
Anguilla,Education: Secondary gross enrol. ratio(f/m per 100 pop.),2021,99.2 /      102.4b
Anguilla,Intentional homicide rate(per 100 000 pop.),2010,0
Anguilla,Intentional homicide rate(per 100 000 pop.),2015,28.3l
Anguilla,Intentional homicide rate(per 100 000 pop.),2021,...
Antigua and Barbuda,Population growth ratei(average annual %),2010,1.6
Antigua and Barbuda,Population growth ratei(average annual %),2015,1.2
Antigua and Barbuda,Population growth ratei(average annual %),2021,0.9e
Antigua and Barbuda,Urban population growth ratei(average annual %),2010,-1
Antigua and Barbuda,Urban population growth ratei(average annual %),2015,0.1
Antigua and Barbuda,Urban population growth ratei(average annual %),2021,...
Antigua and Barbuda,"Life expectancy at birthi(females/males, years)",2010,76.8 /       74.1
Antigua and Barbuda,"Life expectancy at birthi(females/males, years)",2015,77.4 /       74.8
Antigua and Barbuda,"Life expectancy at birthi(females/males, years)",2021,77.9 /       75.7e
Antigua and Barbuda,International migrant stockj(000/% of total pop.),2010,26.4 /       30.0
Antigua and Barbuda,International migrant stockj(000/% of total pop.),2015,28.1 /       30.0
Antigua and Barbuda,International migrant stockj(000/% of total pop.),2021,29.4 /       30.0e
Antigua and Barbuda,Infant mortality ratei(per 1 000 live births),2010,9
Antigua and Barbuda,Infant mortality ratei(per 1 000 live births),2015,6.8
Antigua and Barbuda,Infant mortality ratei(per 1 000 live births),2021,5.2e
Antigua and Barbuda,Health: Physicians(per 1 000 pop.),2010,0.5g
Antigua and Barbuda,Health: Physicians(per 1 000 pop.),2015,...
Antigua and Barbuda,Health: Physicians(per 1 000 pop.),2021,2.8k
Antigua and Barbuda,Education: Primary gross enrol. ratio(f/m per 100 pop.),2010,107.3 /      117.2
Antigua and Barbuda,Education: Primary gross enrol. ratio(f/m per 100 pop.),2015,103.2 /      106.8
Antigua and Barbuda,Education: Primary gross enrol. ratio(f/m per 100 pop.),2021,104.6 /      105.4d
Antigua and Barbuda,Education: Upper secondary gross enrol. ratio(f/m per 100 pop.),2010,104.2 /       68.1
Antigua and Barbuda,Education: Upper secondary gross enrol. ratio(f/m per 100 pop.),2015,90.7 /       79.0
Antigua and Barbuda,Education: Upper secondary gross enrol. ratio(f/m per 100 pop.),2021,110.2 /       97.5d
Antigua and Barbuda,Seats held by women in national parliaments(%),2010,10.5
Antigua and Barbuda,Seats held by women in national parliaments(%),2015,11.1
Antigua and Barbuda,Seats held by women in national parliaments(%),2021,11.1n
Antigua and Barbuda,Urban population(% of total population),2010,26.2
Antigua and Barbuda,Urban population(% of total population),2015,25
Antigua and Barbuda,Urban population(% of total population),2021,24.5b
Antigua and Barbuda,"Fertility rate, totali(live births per woman)",2010,2
Antigua and Barbuda,"Fertility rate, totali(live births per woman)",2015,2
Antigua and Barbuda,"Fertility rate, totali(live births per woman)",2021,2e
Antigua and Barbuda,"Population age distribution(0-14/60+ years old, %)",2010,24.3 /       10.7
Antigua and Barbuda,"Population age distribution(0-14/60+ years old, %)",2015,22.6 /       12.1
Antigua and Barbuda,"Population age distribution(0-14/60+ years old, %)",2021,21.7 /       14.6a
Antigua and Barbuda,Refugees and others of concern to UNHCR(000),2010,...
Antigua and Barbuda,Refugees and others of concern to UNHCR(000),2015,~0.0
Antigua and Barbuda,Refugees and others of concern to UNHCR(000),2021,~0.0e
Antigua and Barbuda,Health: Current expenditureh(% of GDP),2010,5.4
Antigua and Barbuda,Health: Current expenditureh(% of GDP),2015,5.3
Antigua and Barbuda,Health: Current expenditureh(% of GDP),2021,5.2d
Antigua and Barbuda,Education: Government expenditure(% of GDP),2010,2.5l
Antigua and Barbuda,Education: Government expenditure(% of GDP),2015,...
Antigua and Barbuda,Education: Government expenditure(% of GDP),2021,...
Antigua and Barbuda,Education: Secondary gross enrol. ratio(f/m per 100 pop.),2010,115.7 /      109.9
Antigua and Barbuda,Education: Secondary gross enrol. ratio(f/m per 100 pop.),2015,109.3 /      107.1
Antigua and Barbuda,Education: Secondary gross enrol. ratio(f/m per 100 pop.),2021,109.1 /      113.3d
Antigua and Barbuda,Intentional homicide rate(per 100 000 pop.),2010,6.8
Antigua and Barbuda,Intentional homicide rate(per 100 000 pop.),2015,11.1m
Antigua and Barbuda,Intentional homicide rate(per 100 000 pop.),2021,...
Argentina,Population growth rateh(average annual %),2010,1
Argentina,Population growth rateh(average annual %),2015,1
Argentina,Population growth rateh(average annual %),2021,1e
Argentina,Urban population growth rateh(average annual %),2010,1.2
Argentina,Urban population growth rateh(average annual %),2015,1.2
Argentina,Urban population growth rateh(average annual %),2021,...
Argentina,"Life expectancy at birthh(females/males, years)",2010,78.2 /       71.4
Argentina,"Life expectancy at birthh(females/males, years)",2015,79.0 /       72.2
Argentina,"Life expectancy at birthh(females/males, years)",2021,79.8 /       73.0e
Argentina,International migrant stocki(000/% of total pop.),2010,1 806.0 /        4.4
Argentina,International migrant stocki(000/% of total pop.),2015,2 086.3 /        4.8
Argentina,International migrant stocki(000/% of total pop.),2021,2 281.7 /        5.0e
Argentina,Infant mortality rateh(per 1 000 live births),2010,14.2
Argentina,Infant mortality rateh(per 1 000 live births),2015,12.1
Argentina,Infant mortality rateh(per 1 000 live births),2021,10.2e
Argentina,Health: Physicians(per 1 000 pop.),2010,...
Argentina,Health: Physicians(per 1 000 pop.),2015,4
Argentina,Health: Physicians(per 1 000 pop.),2021,4l
Argentina,Education: Primary gross enrol. ratio(f/m per 100 pop.),2010,116.2 /      117.7
Argentina,Education: Primary gross enrol. ratio(f/m per 100 pop.),2015,111.2 /      111.4
Argentina,Education: Primary gross enrol. ratio(f/m per 100 pop.),2021,109.7 /      109.6k
Argentina,Education: Upper secondary gross enrol. ratio(f/m per 100 pop.),2010,77.8 /       64.7
Argentina,Education: Upper secondary gross enrol. ratio(f/m per 100 pop.),2015,91.1 /       79.4
Argentina,Education: Upper secondary gross enrol. ratio(f/m per 100 pop.),2021,91.2 /       81.7k
Argentina,Seats held by women in national parliaments(%),2010,38.5
Argentina,Seats held by women in national parliaments(%),2015,36.2
Argentina,Seats held by women in national parliaments(%),2021,42.4m
Argentina,Urban population(% of total population),2010,90.8
Argentina,Urban population(% of total population),2015,91.5
Argentina,Urban population(% of total population),2021,92c
Argentina,"Fertility rate, totalh(live births per woman)",2010,2.4
Argentina,"Fertility rate, totalh(live births per woman)",2015,2.3
Argentina,"Fertility rate, totalh(live births per woman)",2021,2.3e
Argentina,"Population age distribution(0-14/60+ years old, %)",2010,26.0 /       14.2
Argentina,"Population age distribution(0-14/60+ years old, %)",2015,25.2 /       14.9
Argentina,"Population age distribution(0-14/60+ years old, %)",2021,24.3 /       15.7a
Argentina,Refugees and others of concern to UNHCR(000),2010,4.2j
Argentina,Refugees and others of concern to UNHCR(000),2015,4.4
Argentina,Refugees and others of concern to UNHCR(000),2021,188.8e
Argentina,Health: Current expenditure(% of GDP),2010,9.4
Argentina,Health: Current expenditure(% of GDP),2015,10.2
Argentina,Health: Current expenditure(% of GDP),2021,9.6k
Argentina,Education: Government expenditure(% of GDP),2010,5
Argentina,Education: Government expenditure(% of GDP),2015,5.8
Argentina,Education: Government expenditure(% of GDP),2021,4.9k
Argentina,Education: Secondary gross enrol. ratio(f/m per 100 pop.),2010,104.2 /       95.0
Argentina,Education: Secondary gross enrol. ratio(f/m per 100 pop.),2015,110.2 /      103.8
Argentina,Education: Secondary gross enrol. ratio(f/m per 100 pop.),2021,109.9 /      105.4k
Argentina,Intentional homicide rate(per 100 000 pop.),2010,5.8
Argentina,Intentional homicide rate(per 100 000 pop.),2015,6.6
Argentina,Intentional homicide rate(per 100 000 pop.),2021,5.3k
Armenia,Population growth ratej(average annual %),2010,-0.7
Armenia,Population growth ratej(average annual %),2015,0.3
Armenia,Population growth ratej(average annual %),2021,0.3c
Armenia,Urban population growth ratej(average annual %),2010,-0.9
Armenia,Urban population growth ratej(average annual %),2015,0.2
Armenia,Urban population growth ratej(average annual %),2021,...
Armenia,"Life expectancy at birthj(females/males, years)",2010,75.8 /       69.4
Armenia,"Life expectancy at birthj(females/males, years)",2015,77.0 /       70.6
Armenia,"Life expectancy at birthj(females/males, years)",2021,78.3 /       71.1c
Armenia,International migrant stockk(000/% of total pop.),2010,211.1 /        7.3
Armenia,International migrant stockk(000/% of total pop.),2015,191.2 /        6.5
Armenia,International migrant stockk(000/% of total pop.),2021,190.3 /        6.4c
Armenia,Infant mortality ratej(per 1 000 live births),2010,21
Armenia,Infant mortality ratej(per 1 000 live births),2015,13.2
Armenia,Infant mortality ratej(per 1 000 live births),2021,10.8c
Armenia,Health: Physicians(per 1 000 pop.),2010,2.8
Armenia,Health: Physicians(per 1 000 pop.),2015,2.9
Armenia,Health: Physicians(per 1 000 pop.),2021,4.4n
Armenia,Education: Primary gross enrol. ratio(f/m per 100 pop.),2010,100.7 /       97.7
Armenia,Education: Primary gross enrol. ratio(f/m per 100 pop.),2015,95.8 /       94.3
Armenia,Education: Primary gross enrol. ratio(f/m per 100 pop.),2021,92.1 /       91.6b
Armenia,Education: Upper secondary gross enrol. ratio(f/m per 100 pop.),2010,97.7 /      101.7
Armenia,Education: Upper secondary gross enrol. ratio(f/m per 100 pop.),2015,95.0 /       85.3
Armenia,Education: Upper secondary gross enrol. ratio(f/m per 100 pop.),2021,85.2 /       76.0b
Armenia,Seats held by women in national parliaments(%),2010,9.2
Armenia,Seats held by women in national parliaments(%),2015,10.7
Armenia,Seats held by women in national parliaments(%),2021,22.7o
Armenia,Urban population(% of total population),2010,63.4
Armenia,Urban population(% of total population),2015,63.1
Armenia,Urban population(% of total population),2021,63.2b
Armenia,"Fertility rate, totalj(live births per woman)",2010,1.7
Armenia,"Fertility rate, totalj(live births per woman)",2015,1.7
Armenia,"Fertility rate, totalj(live births per woman)",2021,1.8c
Armenia,"Population age distribution(0-14/60+ years old, %)",2010,19.5 /       14.8
Armenia,"Population age distribution(0-14/60+ years old, %)",2015,20.1 /       15.8
Armenia,"Population age distribution(0-14/60+ years old, %)",2021,20.8 /       19.0a
Armenia,Refugees and others of concern to UNHCR(000),2010,85.8l
