Country,Population,Births per Day,Deaths per Day,Immigrations per Day,Net Change per Day,2025 Population Change,Country Code,Total Emissions (MtCO2e),Emissions per Capita (tCO2e/person),Emissions per GDP (tCO2e/million $GDP),ND-GAIN Vulnerability Score,Population (millions),GDP per Capita (USD)
Kenya,57206596.0,4219.0,1126.0,,3018.0,220314.0,KEN,72.62,1.35,721.37,0.51,54.99,1872.12
Kiribati,135909.0,9.0,3.0,,5.0,365.0,KIR,0.09,0.74,489.58,,0.12,1514.59
"Korea, Democratic People's Republic of",,,,,,,PRK,,,,,,
"Korea, Republic of",,,,,,,KOR,613.54,11.84,374.59,0.37,51.74,31597.5
Kuwait,5001711.0,133.0,25.0,117.0,226.0,16498.0,KWT,135.89,31.82,1282.5,0.36,4.33,24811.77
Kyrgyzstan,7263327.0,409.0,121.0,5.0,294.0,21462.0,KGZ,12.83,1.95,1648.49,0.33,6.69,1182.52
Lao People's Democratic Republic,,,,,,,LAO,,,,,,
Latvia,1859764.0,38.0,75.0,,57.0,4161.0,LVA,11.53,6.07,342.75,0.36,1.88,17703.95
Lebanon,5835649.0,253.0,98.0,,128.0,9344.0,LBN,28.87,4.23,1112.53,0.4,6.77,3801.79
Lesotho,2355672.0,152.0,67.0,,71.0,5183.0,LSO,,,,,,
Liberia,5696343.0,475.0,125.0,,323.0,23579.0,LBR,15.62,3.09,5136.72,0.6,5.18,601.06
Libya,7435468.0,329.0,115.0,,214.0,15622.0,LBY,75.37,10.97,1440.56,0.42,6.96,7614.33
Liechtenstein,40055.0,1.0,1.0,1.0,1.0,73.0,LIE,0.16,4.13,,,0.04,0.0
Lithuania,2842714.0,61.0,110.0,,116.0,8468.0,LTU,24.13,8.63,426.66,0.37,2.8,20232.3
Luxembourg,678331.0,19.0,14.0,14.0,20.0,1460.0,LUX,8.54,13.54,116.41,0.3,0.64,116356.16
Macao,,,,,,,MAC,,,,,,
Madagascar,32510563.0,2802.0,665.0,,2131.0,155563.0,MDG,,,,,,
Malawi,22049524.0,1876.0,319.0,,1542.0,112566.0,MWI,20.31,1.06,1668.22,0.54,19.65,636.29
Malaysia,35855540.0,1204.0,528.0,456.0,1132.0,82636.0,MYS,367.76,11.36,1091.25,0.37,32.78,10412.35
Maldives,529131.0,15.0,3.0,,5.0,365.0,MDV,1.99,3.69,532.9,0.53,0.54,6924.11
Mali,24983551.0,2702.0,578.0,,1993.0,145489.0,MLI,43.49,2.15,2490.26,0.6,20.86,862.45
Malta,543877.0,12.0,12.0,14.0,14.0,1022.0,MLT,,,,,,
Marshall Islands,36651.0,2.0,1.0,,3.0,219.0,MHL,0.16,2.79,674.64,0.57,0.06,4129.85
Martinique,341247.0,9.0,10.0,,7.0,511.0,MTQ,,,,,,
Mauritania,5272010.0,490.0,77.0,,399.0,29127.0,MRT,12.97,2.79,1638.95,0.56,4.78,1702.49
Mauritius,1269195.0,31.0,32.0,,8.0,584.0,MUS,6.41,5.06,586.7,0.43,1.27,8632.75
Mayotte,333905.0,31.0,2.0,,29.0,2117.0,MYT,,,,,,
Mexico,131631628.0,5486.0,2270.0,,2920.0,213160.0,MEX,609.07,4.72,560.26,0.39,130.26,8431.67
"Micronesia, Federated States of",,,,,,,FSM,0.16,1.38,390.61,0.62,0.12,3542.97
"Moldova, Republic of",,,,,,,MDA,,,,,,
Monaco,38423.0,1.0,2.0,,1.0,73.0,MCO,,,,,0.04,173688.19
Mongolia,3505104.0,168.0,57.0,,111.0,8103.0,MNG,,,,,,
Montenegro,635565.0,19.0,20.0,,26.0,1898.0,MNE,3.79,6.1,792.37,0.37,0.62,7694.63
Montserrat,,,,,,,MSR,,,,,,
Morocco,38330437.0,1695.0,612.0,,929.0,67817.0,MAR,86.1,2.33,750.46,0.38,37.34,3058.69
Mozambique,35337306.0,3571.0,666.0,,2726.0,198998.0,MOZ,103.81,3.32,7399.98,0.49,32.16,448.84
Myanmar,54749503.0,2432.0,1387.0,,936.0,68328.0,MMR,246.64,4.53,3124.81,0.5,54.81,1450.66
Namibia,3074655.0,215.0,52.0,5.0,168.0,12264.0,NAM,,,2283.96,0.46,2.59,4157.02
Nauru,12003.0,1.0,0.0,,0.0,0.0,NRU,0.05,4.37,412.89,0.58,0.01,10580.27
Nepal,29624039.0,1510.0,567.0,,55.0,4015.0,NPL,48.48,1.66,1449.94,0.49,29.67,1147.47
"Netherlands, Kingdom of the",,,,,,,NLD,162.55,9.32,177.87,0.35,17.53,52396.03
New Caledonia,294551.0,11.0,5.0,1.0,7.0,511.0,NCL,,,,,,
New Zealand,5241062.0,160.0,107.0,48.0,100.0,7300.0,NZL,70.86,13.92,334.66,0.29,5.12,41596.51
Nicaragua,6980715.0,361.0,90.0,,248.0,18104.0,NIC,38.15,5.76,3030.55,0.44,6.7,1900.04
Niger,27654372.0,3116.0,656.0,,2439.0,178047.0,NER,46.04,1.9,3350.46,0.63,25.13,567.67
Nigeria,236085060.0,20919.0,7516.0,,13361.0,975353.0,NGA,,,,,,
Niue,,,,,,,NIU,0.0,,,,0.0,0.0
Norfolk Island,,,,,,,NFK,,,,,,
North Macedonia,1816577.0,45.0,55.0,,26.0,1898.0,MKD,9.77,4.71,806.27,0.38,2.07,5846.47
Northern Mariana Islands,43746.0,1.0,1.0,,2.0,146.0,MNP,,,,,,
Norway,5611521.0,145.0,120.0,82.0,107.0,7811.0,NOR,31.33,5.82,86.51,0.26,5.41,67329.68
Oman,5437466.0,247.0,28.0,311.0,530.0,38690.0,OMN,95.1,18.62,1285.65,0.42,5.22,14485.39
Pakistan,254027307.0,18917.0,4492.0,,11043.0,806139.0,PAK,443.6,2.01,1477.17,0.52,225.2,1359.51
Palau,17675.0,1.0,1.0,,0.0,0.0,PLW,0.2,10.82,759.76,0.48,0.02,14243.86
"Palestine, State of",,,,,,,PSE,,,,,4.92,3233.57
Panama,4554911.0,196.0,62.0,17.0,151.0,11023.0,PAN,21.46,4.97,397.56,0.4,4.38,12509.84
Papua New Guinea,10707874.0,704.0,194.0,,509.0,37157.0,PNG,51.65,5.77,2094.02,0.55,9.12,2757.01
Paraguay,6988515.0,372.0,110.0,,227.0,16571.0,PRY,97.29,13.64,2745.84,0.37,7.22,4967.69
Peru,34472701.0,1467.0,536.0,33.0,963.0,70299.0,PER,,,,,,
Philippines,116508657.0,5053.0,2067.0,,2577.0,188121.0,PHL,227.52,2.08,628.93,0.46,111.05,3301.22
Pitcairn,,,,,,,PCN,,,,,,
Poland,38274406.0,814.0,1145.0,,1236.0,90228.0,POL,320.92,8.47,537.9,0.31,37.78,15742.45
Portugal,10416591.0,235.0,324.0,45.0,44.0,3212.0,PRT,56.01,5.44,245.08,0.32,10.3,22194.57
Puerto Rico,3238295.0,52.0,95.0,15.0,28.0,2044.0,PRI,,,,,,
Qatar,3097265.0,82.0,9.0,99.0,172.0,12556.0,QAT,119.61,41.51,828.23,0.37,2.93,50124.39
Romania,18940347.0,489.0,703.0,,294.0,21462.0,ROU,72.84,3.78,291.92,0.4,19.12,12956.57
Russian Federation,,,,,,,RUS,1799.98,12.49,1209.4,0.33,143.45,10161.98
Rwanda,14473168.0,1106.0,233.0,17.0,890.0,64970.0,RWA,,,,,,
Réunion,,,,,,,REU,,,,,,
Saint Barthélemy,,,,,,,BLM,,,,,,
"Saint Helena, Ascension and Tristan da Cunha",,,,,,,SHN,,,,,,
Saint Kitts and Nevis,46897.0,1.0,1.0,,0.0,0.0,KNA,0.33,6.29,340.97,0.46,0.05,18440.85
Saint Lucia,180038.0,5.0,4.0,,1.0,73.0,LCA,0.7,3.84,435.7,0.4,0.18,8804.56
Saint Martin (French part),,,,,,,MAF,,,,,,
Saint Pierre and Miquelon,,,,,,,SPM,,,,,,
Saint Vincent and the Grenadines,100128.0,3.0,3.0,,2.0,146.0,VCT,0.3,2.73,346.76,,0.11,7860.82
Samoa,218943.0,15.0,4.0,,3.0,219.0,WSM,0.65,3.25,799.76,0.51,0.2,4068.08
San Marino,33563.0,1.0,1.0,,0.0,0.0,SMR,,,,,0.03,45515.76
Sao Tome and Principe,238859.0,18.0,4.0,,13.0,949.0,STP,0.4,1.8,835.32,0.51,0.22,2157.84
Saudi Arabia,34387671.0,1547.0,220.0,328.0,1654.0,120742.0,SAU,712.59,20.47,1013.1,0.41,35.34,20203.67
Senegal,18804220.0,1500.0,282.0,,1183.0,86359.0,SEN,,,,,,
Serbia,6703859.0,159.0,261.0,,137.0,10001.0,SRB,62.81,9.1,1177.58,0.41,6.84,7730.69
Seychelles,132103.0,5.0,3.0,4.0,6.0,438.0,SYC,0.77,7.82,641.38,0.46,0.1,12193.89
Sierra Leone,8767362.0,713.0,196.0,,485.0,35405.0,SLE,9.31,1.17,2291.18,0.56,8.14,509.38
Singapore,5859849.0,136.0,82.0,46.0,101.0,7373.0,SGP,64.3,11.31,186.22,0.38,5.45,60729.45
Sint Maarten (Dutch part),,,,,,,SXM,,,,,,
Slovakia,5486150.0,136.0,154.0,,104.0,7592.0,SVK,34.95,6.4,332.33,0.35,5.45,19266.51
Slovenia,2117721.0,47.0,61.0,7.0,6.0,438.0,SVN,15.65,7.44,292.02,0.3,2.11,25489.5
Solomon Islands,832860.0,61.0,12.0,4.0,54.0,3942.0,SLB,46.25,67.33,29915.41,0.6,0.7,2250.6
Somalia,19464121.0,2251.0,520.0,33.0,1765.0,128845.0,SOM,,,,,,
South Africa,64533914.0,3219.0,1644.0,401.0,1976.0,144248.0,ZAF,508.38,8.57,1515.54,0.39,60.04,5655.87
South Georgia and the South Sandwich Islands,,,,,,,SGS,,,,,,
South Sudan,12116754.0,979.0,329.0,17.0,667.0,48691.0,SSD,70.61,6.31,,,11.38,0.0
Spain,47899037.0,904.0,1252.0,265.0,84.0,6132.0,ESP,256.41,5.41,200.09,0.3,47.33,27056.42
Sri Lanka,23193556.0,872.0,455.0,,333.0,24309.0,LKA,,,,,,
Sudan,51181431.0,4535.0,882.0,798.0,4451.0,324923.0,SDN,128.14,2.92,4747.95,0.6,44.91,615.46
Suriname,638233.0,30.0,12.0,,15.0,1095.0,SUR,,,,,,
Svalbard and Jan Mayen,,,,,,,SJM,,,,,,
Sweden,10642576.0,266.0,265.0,129.0,130.0,9490.0,SWE,34.14,3.3,63.04,0.3,10.42,52300.21
Switzerland,8954686.0,224.0,208.0,102.0,118.0,8614.0,CHE,42.25,4.89,56.17,0.24,8.7,87100.41
Syrian Arab Republic,,,,,,,SYR,47.12,2.69,,0.46,18.28,0.0
Taiwan,23142868.0,343.0,564.0,,278.0,20294.0,TWN,,,,,,
Tajikistan,10729584.0,724.0,136.0,,529.0,38617.0,TJK,17.56,1.84,2159.29,0.37,9.75,852.83
"Tanzania, United Republic of",,,,,,,TZA,158.82,2.66,2544.72,0.5,61.5,1076.47
Thailand,71635839.0,1567.0,1790.0,75.0,148.0,10804.0,THA,451.42,6.47,903.42,0.44,69.95,7158.77
Timor-Leste,1413216.0,84.0,28.0,,49.0,3577.0,TLS,6.01,4.56,3161.83,0.5,1.34,1442.73
Togo,9660385.0,811.0,203.0,,567.0,41391.0,TGO,9.24,1.12,1219.63,0.5,8.48,914.95
Tokelau,,,,,,,TKL,,,,,,
Tonga,103877.0,6.0,2.0,,1.0,73.0,TON,,,,,,
Trinidad and Tobago,1510363.0,43.0,37.0,2.0,7.0,511.0,TTO,26.61,19.01,1243.73,0.36,1.4,15285.94
Tunisia,12328128.0,439.0,210.0,,190.0,13870.0,TUN,37.1,3.14,872.63,0.38,11.94,3597.22
Turkmenistan,7583041.0,418.0,123.0,36.0,332.0,24236.0,TKM,194.09,32.18,,0.35,6.12,0.0
Turks and Caicos Islands,46762.0,1.0,1.0,,1.0,73.0,TCA,,,,,,
Tuvalu,9534.0,1.0,0.0,,0.0,0.0,TUV,0.02,1.83,391.3,,0.01,4668.82
Türkiye,,,,,,,TUR,476.34,5.65,661.62,0.35,85.04,8536.43
Uganda,50978743.0,4749.0,662.0,,3761.0,274553.0,UGA,53.61,1.17,1425.9,0.58,47.12,822.03
Ukraine,38565733.0,603.0,1424.0,4661.0,3840.0,280320.0,UKR,224.44,5.09,1433.05,0.36,43.81,3751.74
United Arab Emirates,11268605.0,312.0,30.0,434.0,717.0,52341.0,ARE,249.93,25.27,696.43,0.37,9.99,36284.56
United Kingdom of Great Britain and Northern Ireland,,,,,,,GBR,411.12,6.13,149.13,0.28,67.33,41098.08
United States Minor Outlying Islands,,,,,,,UMI,,,,,,
United States of America,,,,,,,USA,5289.13,15.96,253.14,0.31,331.89,63027.68
Uruguay,3385287.0,90.0,92.0,,6.0,438.0,URY,34.28,9.87,640.09,0.37,3.49,15418.82
Uzbekistan,36852233.0,2495.0,613.0,,1863.0,135999.0,UZB,184.15,5.38,3074.66,0.36,34.92,1749.66
Vanuatu,332980.0,25.0,5.0,,20.0,1460.0,VUT,0.59,1.92,656.38,0.56,0.31,2919.84
"Venezuela, Bolivarian Republic of",,,,,,,VEN,237.63,8.36,,0.38,28.7,0.0
Viet Nam,,,,,,,VNM,,,,,,
Virgin Islands (British),,,,,,,VGB,,,,,,
Virgin Islands (U.S.),,,,,,,VIR,,,,,,
Wallis and Futuna,,,,,,,WLF,,,,,,
Western Sahara,597903.0,25.0,11.0,14.0,28.0,2044.0,ESH,,,,,,
Yemen,41422144.0,3837.0,535.0,,3257.0,237761.0,YEM,24.39,0.82,1294.61,0.54,30.49,631.68
Zambia,21735593.0,1941.0,308.0,18.0,1651.0,120523.0,ZMB,,,,,,
Zimbabwe,16855922.0,1371.0,343.0,,879.0,64167.0,ZWE,113.2,7.62,6271.02,0.51,15.09,1214.51
Åland Islands,,,,,,,ALA,,,,,,
